Username,Repo_name,Repo_link,Stars
mrdoob,three.js,https://github.com/mrdoob/three.js,83400
libgdx,libgdx,https://github.com/libgdx/libgdx,20200
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,18600
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,17700
aframevr,aframe,https://github.com/aframevr/aframe,14300
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,14000
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,13300
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,11700
metafizzy,zdog,https://github.com/metafizzy/zdog,9200
CesiumGS,cesium,https://github.com/CesiumGS/cesium,8900
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,8100
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7200
isl-org,Open3D,https://github.com/isl-org/Open3D,7000
blender,blender,https://github.com/blender/blender,6000
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,5400
spritejs,spritejs,https://github.com/spritejs/spritejs,4900
openscad,openscad,https://github.com/openscad/openscad,4900
jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js,4700
tensorspace-team,tensorspace,https://github.com/tensorspace-team/tensorspace,4700
YadiraF,PRNet,https://github.com/YadiraF/PRNet,4600
google,model-viewer,https://github.com/google/model-viewer,4500
AaronJackson,vrn,https://github.com/AaronJackson/vrn,4400
ssloy,tinyraytracer,https://github.com/ssloy/tinyraytracer,4200
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,4200
mosra,magnum,https://github.com/mosra/magnum,4100
tengbao,vanta,https://github.com/tengbao/vanta,3800
gfxfundamentals,webgl-fundamentals,https://github.com/gfxfundamentals/webgl-fundamentals,3600
cleardusk,3DDFA,https://github.com/cleardusk/3DDFA,3300
jasonlong,isometric-contributions,https://github.com/jasonlong/isometric-contributions,3200
cnr-isti-vclab,meshlab,https://github.com/cnr-isti-vclab/meshlab,3100
