Username,Repo_name,Repo_link,Stars
public-apis,public-apis,https://github.com/public-apis/public-apis,199000
neovim,neovim,https://github.com/neovim/neovim,55300
tiangolo,fastapi,https://github.com/tiangolo/fastapi,46900
strapi,strapi,https://github.com/strapi/strapi,46100
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,44700
slatedocs,slate,https://github.com/slatedocs/slate,34200
meilisearch,meilisearch,https://github.com/meilisearch/meilisearch,27700
hasura,graphql-engine,https://github.com/hasura/graphql-engine,27300
ccxt,ccxt,https://github.com/ccxt/ccxt,25000
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,24700
YMFE,yapi,https://github.com/YMFE/yapi,24500
encode,django-rest-framework,https://github.com/encode/django-rest-framework,23700
httpie,httpie,https://github.com/httpie/httpie,22400
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,22300
Kong,insomnia,https://github.com/Kong/insomnia,21500
paularmstrong,normalizr,https://github.com/paularmstrong/normalizr,20900
FallibleInc,security-guide-for-developers,https://github.com/FallibleInc/security-guide-for-developers,20300
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,19500
pubkey,rxdb,https://github.com/pubkey/rxdb,17700
shieldfy,API-Security-Checklist,https://github.com/shieldfy/API-Security-Checklist,17300
directus,directus,https://github.com/directus/directus,16800
ChainSafe,web3.js,https://github.com/ChainSafe/web3.js,15500
learn-anything,learn-anything,https://github.com/learn-anything/learn-anything,14100
youfou,wxpy,https://github.com/youfou/wxpy,13300
jsdoc,jsdoc,https://github.com/jsdoc/jsdoc,13000
OpenAPITools,openapi-generator,https://github.com/OpenAPITools/openapi-generator,12800
BrainJS,brain.js,https://github.com/BrainJS/brain.js,12700
fangzesheng,free-api,https://github.com/fangzesheng/free-api,12400
go-chi,chi,https://github.com/go-chi/chi,11700
graphile,postgraphile,https://github.com/graphile/postgraphile,11400
