Username,Repo_name,Repo_link,Stars
dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,10600
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,10500
bitwarden,server,https://github.com/bitwarden/server,10000
abpframework,abp,https://github.com/abpframework/abp,8200
nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,7300
ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,6300
RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,5200
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,5100
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2500
JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor,2500
dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,2300
serenity-is,Serenity,https://github.com/serenity-is/Serenity,2200
loic-sharma,BaGet,https://github.com/loic-sharma/BaGet,2100
mjebrahimi,Awesome-Microservices-DotNet,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,1800
TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal,1500
TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter,1200
MarimerLLC,csla,https://github.com/MarimerLLC/csla,1000
riganti,dotvvm,https://github.com/riganti/dotvvm,615
antonioCoco,SharPyShell,https://github.com/antonioCoco/SharPyShell,605
cornflourblue,aspnet-core-3-jwt-authentication-api,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,610
json-api-dotnet,JsonApiDotNetCore,https://github.com/json-api-dotnet/JsonApiDotNetCore,572
chsakell,mvcarchitecture,https://github.com/chsakell/mvcarchitecture,462
brthor,Gofer.NET,https://github.com/brthor/Gofer.NET,444
YAFNET,YAFNET,https://github.com/YAFNET/YAFNET,431
Maarten88,rrod,https://github.com/Maarten88/rrod,376
SapphireDb,SapphireDb,https://github.com/SapphireDb/SapphireDb,380
Taritsyn,WebMarkupMin,https://github.com/Taritsyn/WebMarkupMin,373
chsakell,aspnet-core-identity,https://github.com/chsakell/aspnet-core-identity,370
smartstore,Smartstore,https://github.com/smartstore/Smartstore,342
EEParker,aspnetcore-vueclimiddleware,https://github.com/EEParker/aspnetcore-vueclimiddleware,326
