Username,Repo_name,Repo_link,Stars
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,224000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,154000
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,145000
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,140000
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,73100
kdn251,interviews,https://github.com/kdn251/interviews,57600
azl397985856,leetcode,https://github.com/azl397985856/leetcode,48600
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,46700
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,37200
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,29100
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,26700
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,25800
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,25700
huihut,interview,https://github.com/huihut/interview,24800
keon,algorithms,https://github.com/keon/algorithms,21200
TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,20400
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,20000
trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,19400
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,19100
AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,15600
greyireland,algorithm-pattern,https://github.com/greyireland/algorithm-pattern,13500
OpenGenus,cosmos,https://github.com/OpenGenus/cosmos,13000
williamfiset,Algorithms,https://github.com/williamfiset/Algorithms,13000
halfrost,Halfrost-Field,https://github.com/halfrost/Halfrost-Field,11200
apachecn,apachecn-algo-zh,https://github.com/apachecn/apachecn-algo-zh,10600
lnishan,awesome-competitive-programming,https://github.com/lnishan/awesome-competitive-programming,9900
Blankj,awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode,8400
jeffgerickson,algorithms,https://github.com/jeffgerickson/algorithms,7500
LeetCode-OpenSource,vscode-leetcode,https://github.com/LeetCode-OpenSource/vscode-leetcode,7400
gyoogle,tech-interview-for-developer,https://github.com/gyoogle/tech-interview-for-developer,7500
