Username,Repo_name,Repo_link,Stars
serverless,serverless,https://github.com/serverless/serverless,43000
localstack,localstack,https://github.com/localstack/localstack,41900
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,27600
donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,23300
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,12900
pulumi,pulumi,https://github.com/pulumi/pulumi,12900
aws,aws-cli,https://github.com/aws/aws-cli,12600
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,12500
donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,10500
mozilla,sops,https://github.com/mozilla/sops,10200
apereo,cas,https://github.com/apereo/cas,9600
aws,chalice,https://github.com/aws/chalice,9000
aws,aws-cdk,https://github.com/aws/aws-cdk,8900
aws-amplify,amplify-js,https://github.com/aws-amplify/amplify-js,8800
caprover,caprover,https://github.com/caprover/caprover,8800
aws,serverless-application-model,https://github.com/aws/serverless-application-model,8600
apex,up,https://github.com/apex/up,8600
google,go-cloud,https://github.com/google/go-cloud,8500
angristan,openvpn-install,https://github.com/angristan/openvpn-install,8300
GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform/terraformer,7900
aws,aws-sdk-go,https://github.com/aws/aws-sdk-go,7700
hashicorp,terraform-provider-aws,https://github.com/hashicorp/terraform-provider-aws,7500
boto,boto3,https://github.com/boto/boto3,7400
serverless-stack,sst,https://github.com/serverless-stack/sst,7200
infracost,infracost,https://github.com/infracost/infracost,7100
aws,amazon-sagemaker-examples,https://github.com/aws/amazon-sagemaker-examples,7100
aws,aws-sdk-js,https://github.com/aws/aws-sdk-js,7100
awslabs,aws-shell,https://github.com/awslabs/aws-shell,6600
99designs,aws-vault,https://github.com/99designs/aws-vault,6400
gruntwork-io,terratest,https://github.com/gruntwork-io/terratest,6200
