Username,Repo_name,Repo_link,Stars
flutter,flutter,https://github.com/flutter/flutter,142000
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,94100
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,67300
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,52800
google,material-design-icons,https://github.com/google/material-design-icons,46100
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,43000
square,okhttp,https://github.com/square/okhttp,42400
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,41400
android,architecture-samples,https://github.com/android/architecture-samples,41100
square,retrofit,https://github.com/square/retrofit,40200
fastlane,fastlane,https://github.com/fastlane/fastlane,35500
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,35300
airbnb,lottie-android,https://github.com/airbnb/lottie-android,32900
bumptech,glide,https://github.com/bumptech/glide,32700
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,32700
Blankj,AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,31000
Trinea,android-open-project,https://github.com/Trinea/android-open-project,31000
xitu,gold-miner,https://github.com/xitu/gold-miner,30900
skylot,jadx,https://github.com/skylot/jadx,30800
laurent22,joplin,https://github.com/laurent22/joplin,30500
bilibili,ijkplayer,https://github.com/bilibili/ijkplayer,30500
zxing,zxing,https://github.com/zxing/zxing,29800
codepath,android_guides,https://github.com/codepath/android_guides,27800
square,leakcanary,https://github.com/square/leakcanary,27700
alibaba,fastjson,https://github.com/alibaba/fastjson,24800
scwang90,SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,23700
appwrite,appwrite,https://github.com/appwrite/appwrite,23500
CymChad,BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,22900
react-native-elements,react-native-elements,https://github.com/react-native-elements/react-native-elements,22500
quasarframework,quasar,https://github.com/quasarframework/quasar,21600
