Username,Repo_name,Repo_link,Stars
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,94100
angular,angular,https://github.com/angular/angular,82500
storybookjs,storybook,https://github.com/storybookjs/storybook,72500
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,49800
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,47600
prettier,prettier,https://github.com/prettier/prettier,43300
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,30600
angular,angular-cli,https://github.com/angular/angular-cli,25500
angular,components,https://github.com/angular/components,22800
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,21400
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,19700
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,18100
pubkey,rxdb,https://github.com/pubkey/rxdb,17700
handsontable,handsontable,https://github.com/handsontable/handsontable,16800
teambit,bit,https://github.com/teambit/bit,15400
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,14700
nrwl,nx,https://github.com/nrwl/nx,13400
linnovate,mean,https://github.com/linnovate/mean,12200
codesandbox,codesandbox-client,https://github.com/codesandbox/codesandbox-client,11700
Chocobozzz,PeerTube,https://github.com/Chocobozzz/PeerTube,10800
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,10800
PatrickJS,angular-starter,https://github.com/PatrickJS/angular-starter,10400
dotansimha,graphql-code-generator,https://github.com/dotansimha/graphql-code-generator,8900
jasontaylordev,CleanArchitecture,https://github.com/jasontaylordev/CleanArchitecture,9000
ag-grid,ag-grid,https://github.com/ag-grid/ag-grid,8900
angular,protractor,https://github.com/angular/protractor,8800
OnsenUI,OnsenUI,https://github.com/OnsenUI/OnsenUI,8600
PatrickJS,awesome-angular,https://github.com/PatrickJS/awesome-angular,8400
abpframework,abp,https://github.com/abpframework/abp,8200
wailsapp,wails,https://github.com/wailsapp/wails,8200
