Username,Repo_name,Repo_link,Stars
ansible,ansible,https://github.com/ansible/ansible,53700
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,27600
trailofbits,algo,https://github.com/trailofbits/algo,25700
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,22800
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,14200
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,12500
ansible,awx,https://github.com/ansible/awx,11100
easzlab,kubeasz,https://github.com/easzlab/kubeasz,8300
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,5900
khuedoan,homelab,https://github.com/khuedoan/homelab,5900
curlconverter,curlconverter,https://github.com/curlconverter/curlconverter,5600
ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore,5000
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,4900
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,4700
rundeck,rundeck,https://github.com/rundeck/rundeck,4600
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,4300
clong,DetectionLab,https://github.com/clong/DetectionLab,3700
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,3400
ansible-community,molecule,https://github.com/ansible-community/molecule,3400
werf,werf,https://github.com/werf/werf,3200
opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops,3200
litmuschaos,litmus,https://github.com/litmuschaos/litmus,3100
welliamcao,OpsManage,https://github.com/welliamcao/OpsManage,3000
ansible,ansible-lint,https://github.com/ansible/ansible-lint,2800
dev-sec,ansible-collection-hardening,https://github.com/dev-sec/ansible-collection-hardening,2800
alixaxel,chrome-aws-lambda,https://github.com/alixaxel/chrome-aws-lambda,2700
roots,trellis,https://github.com/roots/trellis,2300
ansistrano,deploy,https://github.com/ansistrano/deploy,2200
fboender,ansible-cmdb,https://github.com/fboender/ansible-cmdb,2100
pytest-dev,pytest-testinfra,https://github.com/pytest-dev/pytest-testinfra,2100
