Username,Repo_name,Repo_link,Stars
arendst,Tasmota,https://github.com/arendst/Tasmota,17900
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,13400
arduino,Arduino,https://github.com/arduino/Arduino,13000
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,12700
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,11100
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,10100
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,8900
hybridgroup,gobot,https://github.com/hybridgroup/gobot,7800
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,7600
platformio,platformio-core,https://github.com/platformio/platformio-core,6000
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,5700
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,5300
hybridgroup,cylon,https://github.com/hybridgroup/cylon,3900
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,3700
arduino,arduino-cli,https://github.com/arduino/arduino-cli,3500
blynkkk,blynk-library,https://github.com/blynkkk/blynk-library,3400
NectarJS,nectarjs,https://github.com/NectarJS/nectarjs,3300
olikraus,u8g2,https://github.com/olikraus/u8g2,3200
ClemensElflein,OpenMower,https://github.com/ClemensElflein/OpenMower,3100
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,2800
1technophile,OpenMQTTGateway,https://github.com/1technophile/OpenMQTTGateway,2600
scottlawsonbc,audio-reactive-led-strip,https://github.com/scottlawsonbc/audio-reactive-led-strip,2300
scottbez1,splitflap,https://github.com/scottbez1/splitflap,2400
isl-org,OpenBot,https://github.com/isl-org/OpenBot,2200
crankyoldgit,IRremoteESP8266,https://github.com/crankyoldgit/IRremoteESP8266,2200
stm32duino,Arduino_Core_STM32,https://github.com/stm32duino/Arduino_Core_STM32,1900
Bodmer,TFT_eSPI,https://github.com/Bodmer/TFT_eSPI,2000
nRF24,RF24,https://github.com/nRF24/RF24,1900
blinker-iot,blinker-library,https://github.com/blinker-iot/blinker-library,1900
ThingPulse,esp8266-oled-ssd1306,https://github.com/ThingPulse/esp8266-oled-ssd1306,1700
