Username,Repo_name,Repo_link,Stars
sindresorhus,awesome,https://github.com/sindresorhus/awesome,208000
vinta,awesome-python,https://github.com/vinta/awesome-python,133000
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,93600
avelino,awesome-go,https://github.com/avelino/awesome-go,83400
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,71900
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,62400
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,57000
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,52800
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,50500
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,47400
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,45300
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,43000
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,41400
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,41300
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,41000
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,39800
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,39300
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,38400
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,35600
dypsilon,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,34300
akullpp,awesome-java,https://github.com/akullpp/awesome-java,32600
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,31000
dkhamsing,open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,30700
brillout,awesome-react-components,https://github.com/brillout/awesome-react-components,30400
rust-unofficial,awesome-rust,https://github.com/rust-unofficial/awesome-rust,26800
ziadoz,awesome-php,https://github.com/ziadoz/awesome-php,26800
herrbischoff,awesome-macos-command-line,https://github.com/herrbischoff/awesome-macos-command-line,25800
goabstract,Awesome-Design-Tools,https://github.com/goabstract/Awesome-Design-Tools,24800
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,24000
sindresorhus,awesome-electron,https://github.com/sindresorhus/awesome-electron,22900
