Username,Repo_name,Repo_link,Stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,27600
microsoft,recommenders,https://github.com/microsoft/recommenders,13500
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,12900
pulumi,pulumi,https://github.com/pulumi/pulumi,12900
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,11900
mozilla,sops,https://github.com/mozilla/sops,10200
caprover,caprover,https://github.com/caprover/caprover,8800
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,8500
google,go-cloud,https://github.com/google/go-cloud,8500
infracost,infracost,https://github.com/infracost/infracost,7100
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,6800
node-formidable,formidable,https://github.com/node-formidable/formidable,6300
midwayjs,midway,https://github.com/midwayjs/midway,5800
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,5100
budtmo,docker-android,https://github.com/budtmo/docker-android,4700
aquasecurity,tfsec,https://github.com/aquasecurity/tfsec,4700
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,4400
nccgroup,ScoutSuite,https://github.com/nccgroup/ScoutSuite,4400
cloud-custodian,cloud-custodian,https://github.com/cloud-custodian/cloud-custodian,4200
Azure,autorest,https://github.com/Azure/autorest,3800
Azure,azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net,3800
simov,grant,https://github.com/simov/grant,3700
hashicorp,terraform-provider-azurerm,https://github.com/hashicorp/terraform-provider-azurerm,3400
microsoft,SynapseML,https://github.com/microsoft/SynapseML,3300
Azure,MachineLearningNotebooks,https://github.com/Azure/MachineLearningNotebooks,3300
Azure,azure-powershell,https://github.com/Azure/azure-powershell,3200
Azure,azure-cli,https://github.com/Azure/azure-cli,3100
sottlmarek,DevSecOps,https://github.com/sottlmarek/DevSecOps,3100
Azure,azure-sdk-for-python,https://github.com/Azure/azure-sdk-for-python,2900
APIs-guru,openapi-directory,https://github.com/APIs-guru/openapi-directory,2800
