Username,Repo_name,Repo_link,Stars
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,107000
nvm-sh,nvm,https://github.com/nvm-sh/nvm,59100
junegunn,fzf,https://github.com/junegunn/fzf,45400
google,zx,https://github.com/google/zx,32900
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,31300
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,29400
koalaman,shellcheck,https://github.com/koalaman/shellcheck,29200
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,28000
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,27200
starship,starship,https://github.com/starship/starship,27200
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,24000
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,19100
withfig,autocomplete,https://github.com/withfig/autocomplete,18600
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,15500
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,15300
rbenv,rbenv,https://github.com/rbenv/rbenv,14300
powerline,powerline,https://github.com/powerline/powerline,13400
shelljs,shelljs,https://github.com/shelljs/shelljs,13300
Bash-it,bash-it,https://github.com/Bash-it/bash-it,13000
faressoft,terminalizer,https://github.com/faressoft/terminalizer,12800
jessfraz,dockerfiles,https://github.com/jessfraz/dockerfiles,12600
denisidoro,navi,https://github.com/denisidoro/navi,11300
carlospolop,PEASS-ng,https://github.com/carlospolop/PEASS-ng,9400
codota,TabNine,https://github.com/codota/TabNine,9300
direnv,direnv,https://github.com/direnv/direnv,9200
skywind3000,awesome-cheatsheets,https://github.com/skywind3000/awesome-cheatsheets,9000
rgcr,m-cli,https://github.com/rgcr/m-cli,8900
alexanderepstein,Bash-Snippets,https://github.com/alexanderepstein/Bash-Snippets,8800
kanaka,mal,https://github.com/kanaka/mal,8700
extrawurst,gitui,https://github.com/extrawurst/gitui,8300
