Username,Repo_name,Repo_link,Stars
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,154000
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,71200
azl397985856,leetcode,https://github.com/azl397985856/leetcode,48600
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,38700
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,38400
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,29100
microsoft,calculator,https://github.com/microsoft/calculator,25200
huihut,interview,https://github.com/huihut/interview,24800
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,24500
yuzu-emu,yuzu,https://github.com/yuzu-emu/yuzu,20700
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,20000
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,18000
ethereum,solidity,https://github.com/ethereum/solidity,17400
microsoft,vcpkg,https://github.com/microsoft/vcpkg,16100
catchorg,Catch2,https://github.com/catchorg/Catch2,15300
gabime,spdlog,https://github.com/gabime/spdlog,15000
doocs,leetcode,https://github.com/doocs/leetcode,14600
AnthonyCalandra,modern-cpp-features,https://github.com/AnthonyCalandra/modern-cpp-features,14200
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,14000
Qv2ray,Qv2ray,https://github.com/Qv2ray/Qv2ray,13800
facebook,infer,https://github.com/facebook/infer,13400
CoatiSoftware,Sourcetrail,https://github.com/CoatiSoftware/Sourcetrail,12800
antlr,antlr4,https://github.com/antlr/antlr4,12500
google,tink,https://github.com/google/tink,12500
kyleneideck,BackgroundMusic,https://github.com/kyleneideck/BackgroundMusic,11600
SFTtech,openage,https://github.com/SFTtech/openage,11100
compiler-explorer,compiler-explorer,https://github.com/compiler-explorer/compiler-explorer,11000
polybar,polybar,https://github.com/polybar/polybar,10800
OpenRCT2,OpenRCT2,https://github.com/OpenRCT2/OpenRCT2,10700
microsoft,IoT-For-Beginners,https://github.com/microsoft/IoT-For-Beginners,10500
