Username,Repo_name,Repo_link,Stars
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,67300
neovim,neovim,https://github.com/neovim/neovim,55300
git,git,https://github.com/git/git,42700
obsproject,obs-studio,https://github.com/obsproject/obs-studio,39400
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,38400
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,31000
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,30400
vim,vim,https://github.com/vim/vim,27800
curl,curl,https://github.com/curl/curl,25600
huihut,interview,https://github.com/huihut/interview,24800
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,23800
ruby,ruby,https://github.com/ruby/ruby,19300
mpv-player,mpv,https://github.com/mpv-player/mpv,19200
pbatard,rufus,https://github.com/pbatard/rufus,19000
ossrs,srs,https://github.com/ossrs/srs,18500
google,flatbuffers,https://github.com/google/flatbuffers,18100
oracle,graal,https://github.com/oracle/graal,17200
radareorg,radare2,https://github.com/radareorg/radare2,16500
microsoft,vcpkg,https://github.com/microsoft/vcpkg,16100
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,15100
shadowsocks,shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,15000
allinurl,goaccess,https://github.com/allinurl/goaccess,14900
hashcat,hashcat,https://github.com/hashcat/hashcat,14800
jarun,nnn,https://github.com/jarun/nnn,14400
TheAlgorithms,C,https://github.com/TheAlgorithms/C,13900
vurtun,nuklear,https://github.com/vurtun/nuklear,13400
facebook,infer,https://github.com/facebook/infer,13400
CoatiSoftware,Sourcetrail,https://github.com/CoatiSoftware/Sourcetrail,12800
qmk,qmk_firmware,https://github.com/qmk/qmk_firmware,12700
s-matyukevich,raspberry-pi-os,https://github.com/s-matyukevich/raspberry-pi-os,11500
