Username,Repo_name,Repo_link,Stars
CSSEGISandData,COVID-19,https://github.com/CSSEGISandData/COVID-19,28900
covid19india,covid19india-react,https://github.com/covid19india/covid19india-react,6900
nytimes,covid-19-data,https://github.com/nytimes/covid-19-data,6900
tokyo-metropolitan-gov,covid19,https://github.com/tokyo-metropolitan-gov/covid19,6400
owid,covid-19-data,https://github.com/owid/covid-19-data,5300
pcm-dpc,COVID-19,https://github.com/pcm-dpc/COVID-19,3900
ieee8023,covid-chestxray-dataset,https://github.com/ieee8023/covid-chestxray-dataset,2800
disease-sh,API,https://github.com/disease-sh/API,2400
geohot,corona,https://github.com/geohot/corona,2200
WorldHealthOrganization,app,https://github.com/WorldHealthOrganization/app,2100
corona-warn-app,cwa-server,https://github.com/corona-warn-app/cwa-server,1900
ahmadawais,corona-cli,https://github.com/ahmadawais/corona-cli,1800
github,covid19-dashboard,https://github.com/github/covid19-dashboard,1600
ExpDev07,coronavirus-tracker-api,https://github.com/ExpDev07/coronavirus-tracker-api,1600
soroushchehresa,awesome-coronavirus,https://github.com/soroushchehresa/awesome-coronavirus,1500
mhdhejazi,CoronaTracker,https://github.com/mhdhejazi/CoronaTracker,1500
neherlab,covid19_scenarios,https://github.com/neherlab/covid19_scenarios,1400
chandrikadeb7,Face-Mask-Detection,https://github.com/chandrikadeb7/Face-Mask-Detection,1300
covidpass-org,covidpass,https://github.com/covidpass-org/covidpass,1200
pomber,covid19,https://github.com/pomber/covid19,1200
chrismattmann,tika-python,https://github.com/chrismattmann/tika-python,1200
datasets,covid-19,https://github.com/datasets/covid-19,1200
FoldingAtHome,coronavirus,https://github.com/FoldingAtHome/coronavirus,1100
lindawangg,COVID-Net,https://github.com/lindawangg/COVID-Net,1100
cyberman54,ESP32-Paxcounter,https://github.com/cyberman54/ESP32-Paxcounter,1000
UCSD-AI4H,COVID-CT,https://github.com/UCSD-AI4H/COVID-CT,969
ImperialCollegeLondon,covid19model,https://github.com/ImperialCollegeLondon/covid19model,939
MoH-Malaysia,covid19-public,https://github.com/MoH-Malaysia/covid19-public,930
nychealth,coronavirus-data,https://github.com/nychealth/coronavirus-data,916
cirosantilli,china-dictatorship,https://github.com/cirosantilli/china-dictatorship,908
