Username,Repo_name,Repo_link,Stars
metabase,metabase,https://github.com/metabase/metabase,29000
logseq,logseq,https://github.com/logseq/logseq,15000
eclipse,deeplearning4j,https://github.com/eclipse/deeplearning4j,12500
LightTable,LightTable,https://github.com/LightTable/LightTable,11700
penpot,penpot,https://github.com/penpot/penpot,10600
kanaka,mal,https://github.com/kanaka/mal,8700
lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo,8400
tonsky,datascript,https://github.com/tonsky/datascript,4800
reagent-project,reagent,https://github.com/reagent-project/reagent,4500
riemann,riemann,https://github.com/riemann/riemann,4100
weavejester,compojure,https://github.com/weavejester/compojure,3900
bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide,3800
izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets,3700
status-im,status-react,https://github.com/status-im/status-react,3500
ring-clojure,ring,https://github.com/ring-clojure/ring,3500
clojure-emacs,cider,https://github.com/clojure-emacs/cider,3300
viebel,klipse,https://github.com/viebel/klipse,2900
bhauman,lein-figwheel,https://github.com/bhauman/lein-figwheel,2900
tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub,2900
babashka,babashka,https://github.com/babashka/babashka,2800
twosigma,beakerx,https://github.com/twosigma/beakerx,2600
pedestal,pedestal,https://github.com/pedestal/pedestal,2500
clj-commons,aleph,https://github.com/clj-commons/aleph,2400
weavejester,hiccup,https://github.com/weavejester/hiccup,2400
razum2um,awesome-clojure,https://github.com/razum2um/awesome-clojure,2400
http-kit,http-kit,https://github.com/http-kit/http-kit,2300
defold,defold,https://github.com/defold/defold,2200
onyx-platform,onyx,https://github.com/onyx-platform/onyx,2000
xtdb,xtdb,https://github.com/xtdb/xtdb,1900
anmonteiro,lumo,https://github.com/anmonteiro/lumo,1900
