Username,Repo_name,Repo_link,Stars
realm,SwiftLint,https://github.com/realm/SwiftLint,16200
facebook,infer,https://github.com/facebook/infer,13400
analysis-tools-dev,static-analysis,https://github.com/analysis-tools-dev/static-analysis,10000
checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,7100
Kristories,awesome-guidelines,https://github.com/Kristories/awesome-guidelines,7100
SonarSource,sonarqube,https://github.com/SonarSource/sonarqube,7000
facebook,pyre-check,https://github.com/facebook/pyre-check,6000
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,5200
detekt,detekt,https://github.com/detekt/detekt,4600
simplecov-ruby,simplecov,https://github.com/simplecov-ruby/simplecov,4500
import-js,eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,4100
PyCQA,pylint,https://github.com/PyCQA/pylint,4100
pmd,pmd,https://github.com/pmd/pmd,3900
phpro,grumphp,https://github.com/phpro/grumphp,3800
htmlhint,HTMLHint,https://github.com/htmlhint/HTMLHint,2800
kucherenko,jscpd,https://github.com/kucherenko/jscpd,2700
trekhleb,state-of-the-art-shitcode,https://github.com/trekhleb/state-of-the-art-shitcode,3300
codeclimate,codeclimate,https://github.com/codeclimate/codeclimate,2300
wemake-services,wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,1900
uber,piranha,https://github.com/uber/piranha,1900
ehmicky,cross-platform-node-guide,https://github.com/ehmicky/cross-platform-node-guide,1300
Tencent,feflow,https://github.com/Tencent/feflow,1200
Tencent,CodeAnalysis,https://github.com/Tencent/CodeAnalysis,1200
urish,typewiz,https://github.com/urish/typewiz,1100
jakzal,phpqa,https://github.com/jakzal/phpqa,1000
imgbot,Imgbot,https://github.com/imgbot/Imgbot,924
joshuaclayton,unused,https://github.com/joshuaclayton/unused,870
sourcery-ai,sourcery,https://github.com/sourcery-ai/sourcery,871
SonarSource,SonarJS,https://github.com/SonarSource/SonarJS,828
pdepend,pdepend,https://github.com/pdepend/pdepend,802
