Username,Repo_name,Repo_link,Stars
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,147000
junegunn,fzf,https://github.com/junegunn/fzf,45400
sharkdp,bat,https://github.com/sharkdp/bat,35500
google,zx,https://github.com/google/zx,32900
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,33000
wagoodman,dive,https://github.com/wagoodman/dive,32500
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,31900
chubin,cheat.sh,https://github.com/chubin/cheat.sh,29600
cli,cli,https://github.com/cli/cli,29100
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,28200
spf13,cobra,https://github.com/spf13/cobra,27400
angular,angular-cli,https://github.com/angular/angular-cli,25500
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,24000
sharkdp,fd,https://github.com/sharkdp/fd,23600
n8n-io,n8n,https://github.com/n8n-io/n8n,23200
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,23000
google,python-fire,https://github.com/google/python-fire,22700
tqdm,tqdm,https://github.com/tqdm/tqdm,22400
httpie,httpie,https://github.com/httpie/httpie,22400
vercel,pkg,https://github.com/vercel/pkg,21400
avajs,ava,https://github.com/avajs/ava,19900
chalk,chalk,https://github.com/chalk/chalk,18700
vadimdemedes,ink,https://github.com/vadimdemedes/ink,18700
urfave,cli,https://github.com/urfave/cli,18600
withfig,autocomplete,https://github.com/withfig/autocomplete,18600
svg,svgo,https://github.com/svg/svgo,17900
gpakosz,.tmux,https://github.com/gpakosz/.tmux,16900
asdf-vm,asdf,https://github.com/asdf-vm/asdf,14900
antonmedv,fx,https://github.com/antonmedv/fx,14900
allinurl,goaccess,https://github.com/allinurl/goaccess,14900
