Username,Repo_name,Repo_link,Stars
vercel,next.js,https://github.com/vercel/next.js,89100
rust-lang,rust,https://github.com/rust-lang/rust,68400
webpack,webpack,https://github.com/webpack/webpack,61300
sveltejs,svelte,https://github.com/sveltejs/svelte,60300
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,53200
JetBrains,kotlin,https://github.com/JetBrains/kotlin,41900
babel,babel,https://github.com/babel/babel,41100
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,41000
evanw,esbuild,https://github.com/evanw/esbuild,32299
vlang,v,https://github.com/vlang/v,29800
markedjs,marked,https://github.com/markedjs/marked,27800
swc-project,swc,https://github.com/swc-project/swc,22800
vercel,pkg,https://github.com/vercel/pkg,21400
v8,v8,https://github.com/v8/v8,19800
ziglang,zig,https://github.com/ziglang/zig,14400
AssemblyScript,assemblyscript,https://github.com/AssemblyScript/assemblyscript,14200
nim-lang,Nim,https://github.com/nim-lang/Nim,13100
Konloch,bytecode-viewer,https://github.com/Konloch/bytecode-viewer,13100
RustPython,RustPython,https://github.com/RustPython/RustPython,11600
gopherjs,gopherjs,https://github.com/gopherjs/gopherjs,11200
compiler-explorer,compiler-explorer,https://github.com/compiler-explorer/compiler-explorer,11000
apache,tvm,https://github.com/apache/tvm,8300
numba,numba,https://github.com/numba/numba,7600
JetBrains,kotlin-native,https://github.com/JetBrains/kotlin-native,7100
Nuitka,Nuitka,https://github.com/Nuitka/Nuitka,7000
aalhour,awesome-compilers,https://github.com/aalhour/awesome-compilers,6900
elm,compiler,https://github.com/elm/compiler,6900
DoctorWkt,acwj,https://github.com/DoctorWkt/acwj,6600
rescript-lang,rescript-compiler,https://github.com/rescript-lang/rescript-compiler,5800
BuilderIO,mitosis,https://github.com/BuilderIO/mitosis,5600
