Username,Repo_name,Repo_link,Stars
localstack,localstack,https://github.com/localstack/localstack,41900
harness,drone,https://github.com/harness/drone,25300
jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,19100
auchenberg,volkswagen,https://github.com/auchenberg/volkswagen,12400
openshift,origin,https://github.com/openshift/origin,8100
theonedev,onedev,https://github.com/theonedev/onedev,7800
gocd,gocd,https://github.com/gocd/gocd,6500
concourse,concourse,https://github.com/concourse/concourse,6400
buildbot,buildbot,https://github.com/buildbot/buildbot,4900
gaia-pipeline,gaia,https://github.com/gaia-pipeline/gaia,4700
Strider-CD,strider,https://github.com/Strider-CD/strider,4600
jenkins-x,jx,https://github.com/jenkins-x/jx,4200
ovh,cds,https://github.com/ovh/cds,3900
iterative,cml,https://github.com/iterative/cml,3400
cake-build,cake,https://github.com/cake-build/cake,3300
werf,werf,https://github.com/werf/werf,3200
JamesIves,github-pages-deploy-action,https://github.com/JamesIves/github-pages-deploy-action,3000
ligurio,awesome-ci,https://github.com/ligurio/awesome-ci,2900
tox-dev,tox,https://github.com/tox-dev/tox,2900
TheLartians,ModernCppStarter,https://github.com/TheLartians/ModernCppStarter,2800
dancryer,PHPCI,https://github.com/dancryer/PHPCI,2400
shivammathur,setup-php,https://github.com/shivammathur/setup-php,2200
dreamans,syncd,https://github.com/dreamans/syncd,2100
Flagsmith,flagsmith,https://github.com/Flagsmith/flagsmith,1700
lastbackend,lastbackend,https://github.com/lastbackend/lastbackend,1600
nuke-build,nuke,https://github.com/nuke-build/nuke,1500
FlowCI,flow-core-x,https://github.com/FlowCI/flow-core-x,1400
k1LoW,tbls,https://github.com/k1LoW/tbls,1400
bors-ng,bors-ng,https://github.com/bors-ng/bors-ng,1300
bmitch,churn-php,https://github.com/bmitch/churn-php,1200
